GO_Accession	GO_term_name	GO domain	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0016301	kinase activity	molecular_function	0.012756905	16	304	"ENSAPLT00000015410, ENSAPLT00000010829, ENSAPLT00000006987, ENSAPLT00000011317, ENSAPLT00000004290, ENSAPLT00000005923, ENSAPLT00000007925, ENSAPLT00000005987, ENSAPLT00000005954, ENSAPLT00000008254, ENSAPLT00000010372, ENSAPLT00000015405, ENSAPLT00000003660, ENSAPLT00000002477, ENSAPLT00000009893, ENSAPLT00000013286"	"PKN2, DCLK3, CKMT2, FER, KIT, KDR, PRKX, CDK7, PLK2, GRK5, PIK3C2G, PRKD1, unknow, ZAP70, GAK, PRKAA1"
GO:0016772	"transferase activity, transferring phosphorus-containing groups"	molecular_function	0.012944075	23	493	"ENSAPLT00000015410, ENSAPLT00000003146, ENSAPLT00000010829, ENSAPLT00000006987, ENSAPLT00000011317, ENSAPLT00000004290, ENSAPLT00000005923, ENSAPLT00000014588, ENSAPLT00000003100, ENSAPLT00000010540, ENSAPLT00000013416, ENSAPLT00000007925, ENSAPLT00000005987, ENSAPLT00000005954, ENSAPLT00000015325, ENSAPLT00000008254, ENSAPLT00000013513, ENSAPLT00000010372, ENSAPLT00000015405, ENSAPLT00000003660, ENSAPLT00000002477, ENSAPLT00000009893, ENSAPLT00000013286"	"PKN2, ETNK1, DCLK3, CKMT2, FER, KIT, KDR, TTN, CSNK1G3, unknow, AATK, PRKX, CDK7, PLK2, DAPK1, GRK5, unknow, PIK3C2G, PRKD1, unknow, ZAP70, GAK, PRKAA1"
GO:0000281	mitotic cytokinesis	biological_process	0.013271944	3	18	"ENSAPLT00000009208, ENSAPLT00000005018, ENSAPLT00000001777"	"ANK3, SNX18, unknow"
GO:0055010	ventricular cardiac muscle tissue morphogenesis	biological_process	0.013271944	3	18	"ENSAPLT00000013725, ENSAPLT00000001256, ENSAPLT00000010766"	"ISL1, SMAD7, PTCD2"
GO:0003215	cardiac right ventricle morphogenesis	biological_process	0.015175823	2	7	"ENSAPLT00000013725, ENSAPLT00000011528"	"ISL1, TBX20"
GO:0010460	positive regulation of heart rate	biological_process	0.015175823	2	7	"ENSAPLT00000015672, ENSAPLT00000013225"	"SLC1A1, EDN1"
GO:0017146	NMDA selective glutamate receptor complex	cellular_component	0.015175823	2	7	"ENSAPLT00000008306, ENSAPLT00000004160"	"GRIN3A, GRIN2A"
GO:0017153	sodium:dicarboxylate symporter activity	molecular_function	0.015175823	2	7	"ENSAPLT00000015672, ENSAPLT00000007816"	"SLC1A1, SLC1A3"
GO:0031957	very long-chain fatty acid-CoA ligase activity	molecular_function	0.015175823	2	7	"ENSAPLT00000005525, ENSAPLT00000005242"	"SLC27A3, SLC27A6"
GO:0043069	negative regulation of programmed cell death	biological_process	0.015175823	2	7	"ENSAPLT00000004290, ENSAPLT00000011198"	"KIT, PLCG2"
GO:0044295	axonal growth cone	cellular_component	0.015175823	2	7	"ENSAPLT00000001777, ENSAPLT00000013416"	"unknow, AATK"
GO:0045499	chemorepellent activity	molecular_function	0.015175823	2	7	"ENSAPLT00000006486, ENSAPLT00000001516"	"EFNA5, FLRT2"
GO:0060449	bud elongation involved in lung branching	biological_process	0.015175823	2	7	"ENSAPLT00000003284, ENSAPLT00000012065"	"FGF10, SPRY2"
GO:0004713	protein tyrosine kinase activity	molecular_function	0.015381074	20	418	"ENSAPLT00000015410, ENSAPLT00000010829, ENSAPLT00000011317, ENSAPLT00000004290, ENSAPLT00000005923, ENSAPLT00000014588, ENSAPLT00000003100, ENSAPLT00000010540, ENSAPLT00000013416, ENSAPLT00000007925, ENSAPLT00000005987, ENSAPLT00000005954, ENSAPLT00000015325, ENSAPLT00000008254, ENSAPLT00000013513, ENSAPLT00000015405, ENSAPLT00000003660, ENSAPLT00000002477, ENSAPLT00000009893, ENSAPLT00000013286"	"PKN2, DCLK3, FER, KIT, KDR, TTN, CSNK1G3, unknow, AATK, PRKX, CDK7, PLK2, DAPK1, GRK5, unknow, PRKD1, unknow, ZAP70, GAK, PRKAA1"
GO:0045931	positive regulation of mitotic cell cycle	biological_process	0.015436319	3	19	"ENSAPLT00000015410, ENSAPLT00000003284, ENSAPLT00000012646"	"PKN2, FGF10, unknow"
GO:0005783	endoplasmic reticulum	cellular_component	0.017033071	21	450	"ENSAPLT00000009634, ENSAPLT00000014353, ENSAPLT00000009831, ENSAPLT00000004354, ENSAPLT00000014480, ENSAPLT00000008156, ENSAPLT00000006449, ENSAPLT00000004160, ENSAPLT00000005923, ENSAPLT00000008468, ENSAPLT00000011782, ENSAPLT00000013625, ENSAPLT00000010063, ENSAPLT00000013416, ENSAPLT00000014755, ENSAPLT00000011876, ENSAPLT00000016292, ENSAPLT00000014411, ENSAPLT00000016642, ENSAPLT00000004180, ENSAPLT00000013128"	"MAMDC2, SLC39A14, PIGG, STUB1, PTGS2, ALG3, THBS4, GRIN2A, KDR, SEC62, CERS6, PLA2G4A, ELOVL7, AATK, USP25, NDFIP2, LRRC8C, YTHDC2, GPR37, FAM172A, PHEX"
GO:0001664	G-protein coupled receptor binding	molecular_function	0.017787473	3	20	"ENSAPLT00000016451, ENSAPLT00000004354, ENSAPLT00000010685"	"DNAJA1, STUB1, PACRG"
