GO_Accession	GO_term_name	P-value	Number	Size	gene_transcript_ID	gene_symbol
GO:0070352	positive regulation of white fat cell proliferation	0.019572726	1	1	ENSAPLT00000003284	FGF10
GO:0071879	positive regulation of adrenergic receptor signaling pathway	0.019572726	1	1	ENSAPLT00000013899	ARRDC3
GO:0072060	outer medullary collecting duct development	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0072108	positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	0.019572726	1	1	ENSAPLT00000010670	GDNF
GO:0072236	metanephric loop of Henle development	0.019572726	1	1	ENSAPLT00000011034	WNT7B
GO:0090032	negative regulation of steroid hormone biosynthetic process	0.019572726	1	1	ENSAPLT00000007678	PDE8B
GO:0090327	negative regulation of locomotion involved in locomotory behavior	0.019572726	1	1	ENSAPLT00000013899	ARRDC3
GO:0098506	polynucleotide 3 dephosphorylation	0.019572726	1	1	ENSAPLT00000016305	APTX
GO:0098542	defense response to other organism	0.019572726	1	1	ENSAPLT00000012265	IL31RA
GO:1900044	regulation of protein K63-linked ubiquitination	0.019572726	1	1	ENSAPLT00000008063	SASH1
GO:1900134	negative regulation of renin secretion into blood stream	0.019572726	1	1	ENSAPLT00000001014	F2R
GO:1901258	positive regulation of macrophage colony-stimulating factor production	0.019572726	1	1	ENSAPLT00000013725	ISL1
GO:1901360	organic cyclic compound metabolic process	0.019572726	1	1	ENSAPLT00000009693	RNF180
GO:1901509	regulation of endothelial tube morphogenesis	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
GO:1901563	response to camptothecin	0.019572726	1	1	ENSAPLT00000013286	PRKAA1
GO:1901898	negative regulation of relaxation of cardiac muscle	0.019572726	1	1	ENSAPLT00000005615	PDE4D
GO:1902203	negative regulation of hepatocyte growth factor receptor signaling pathway	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
GO:1902498	regulation of protein autoubiquitination	0.019572726	1	1	ENSAPLT00000008063	SASH1
GO:1902548	negative regulation of cellular response to vascular endothelial growth factor stimulus	0.019572726	1	1	ENSAPLT00000002531	ADAMTS12
GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	0.019572726	1	1	ENSAPLT00000004801	CD274
GO:1903712	cysteine transmembrane transport	0.019572726	1	1	ENSAPLT00000015672	SLC1A1
GO:1904188	negative regulation of transformation of host cell by virus	0.019572726	1	1	ENSAPLT00000010574	FBLN1
GO:1904293	negative regulation of ERAD pathway	0.019572726	1	1	ENSAPLT00000014755	USP25
